sep=; 
"codigo_comuna";"nombre_comuna";"codigo_provincia";"nombre_provincia";"codigo_region";"nombre_region";"region";"variable";"valor"
"10103";"Cochamo";"101";"Llanquihue";"10";"Los Lagos";"X";"poblacion";4023
"10104";"Fresia";"101";"Llanquihue";"10";"Los Lagos";"X";"poblacion";12261
"10105";"Frutillar";"101";"Llanquihue";"10";"Los Lagos";"X";"poblacion";18428
"10106";"Los Muermos";"101";"Llanquihue";"10";"Los Lagos";"X";"poblacion";17068
"10107";"Llanquihue";"101";"Llanquihue";"10";"Los Lagos";"X";"poblacion";17591
"10108";"Maullin";"101";"Llanquihue";"10";"Los Lagos";"X";"poblacion";14216
"10109";"Puerto Varas";"101";"Llanquihue";"10";"Los Lagos";"X";"poblacion";44578
"10201";"Castro";"102";"Chiloe";"10";"Los Lagos";"X";"poblacion";43807
"10202";"Ancud";"102";"Chiloe";"10";"Los Lagos";"X";"poblacion";38991
"10203";"Chonchi";"102";"Chiloe";"10";"Los Lagos";"X";"poblacion";14858
"10204";"Curaco de Velez";"102";"Chiloe";"10";"Los Lagos";"X";"poblacion";3829
"10205";"Dalcahue";"102";"Chiloe";"10";"Los Lagos";"X";"poblacion";13762
"10206";"Puqueldon";"102";"Chiloe";"10";"Los Lagos";"X";"poblacion";3921
"10207";"Queilen";"102";"Chiloe";"10";"Los Lagos";"X";"poblacion";5385
"10208";"Quellon";"102";"Chiloe";"10";"Los Lagos";"X";"poblacion";27192
"10209";"Quemchi";"102";"Chiloe";"10";"Los Lagos";"X";"poblacion";8352
"10210";"Quinchao";"102";"Chiloe";"10";"Los Lagos";"X";"poblacion";8088
"10301";"Osorno";"103";"Osorno";"10";"Los Lagos";"X";"poblacion";161460
"10302";"Puerto Octay";"103";"Osorno";"10";"Los Lagos";"X";"poblacion";8999
"10303";"Purranque";"103";"Osorno";"10";"Los Lagos";"X";"poblacion";20369
"10304";"Puyehue";"103";"Osorno";"10";"Los Lagos";"X";"poblacion";11667
"10305";"Rio Negro";"103";"Osorno";"10";"Los Lagos";"X";"poblacion";14085
"10306";"San Juan de la Costa";"103";"Osorno";"10";"Los Lagos";"X";"poblacion";7512
"10307";"San Pablo";"103";"Osorno";"10";"Los Lagos";"X";"poblacion";10030
"10401";"Chaiten";"104";"Palena";"10";"Los Lagos";"X";"poblacion";5071
"10402";"Futaleufu";"104";"Palena";"10";"Los Lagos";"X";"poblacion";2623
"10403";"Hualaihue";"104";"Palena";"10";"Los Lagos";"X";"poblacion";8944
"10404";"Palena";"104";"Palena";"10";"Los Lagos";"X";"poblacion";1711
"11101";"Coihaique";"111";"Coihaique";"11";"Aysen del General Carlos Ibanez del Campo";"XI";"poblacion";57818
"11102";"Lago Verde";"111";"Coihaique";"11";"Aysen del General Carlos Ibanez del Campo";"XI";"poblacion";852
"11201";"Aisen";"112";"Aisen";"11";"Aysen del General Carlos Ibanez del Campo";"XI";"poblacion";23959
"11202";"Cisnes";"112";"Aisen";"11";"Aysen del General Carlos Ibanez del Campo";"XI";"poblacion";6517
"11203";"Guaitecas";"112";"Aisen";"11";"Aysen del General Carlos Ibanez del Campo";"XI";"poblacion";1843
"11301";"Cochrane";"113";"Capitan Prat";"11";"Aysen del General Carlos Ibanez del Campo";"XI";"poblacion";3490
"11302";"OHiggins";"113";"Capitan Prat";"11";"Aysen del General Carlos Ibanez del Campo";"XI";"poblacion";625
"11303";"Tortel";"113";"Capitan Prat";"11";"Aysen del General Carlos Ibanez del Campo";"XI";"poblacion";523
"11401";"Chile Chico";"114";"General Carrera";"11";"Aysen del General Carlos Ibanez del Campo";"XI";"poblacion";4865
"11402";"Rio Ibanez";"114";"General Carrera";"11";"Aysen del General Carlos Ibanez del Campo";"XI";"poblacion";2666
"12101";"Punta Arenas";"121";"Magallanes";"12";"Magallanes y de la Antartica Chilena";"XII";"poblacion";131592
"12102";"Laguna Blanca";"121";"Magallanes";"12";"Magallanes y de la Antartica Chilena";"XII";"poblacion";274
"12103";"Rio Verde";"121";"Magallanes";"12";"Magallanes y de la Antartica Chilena";"XII";"poblacion";617
"12104";"San Gregorio";"121";"Magallanes";"12";"Magallanes y de la Antartica Chilena";"XII";"poblacion";799
"12201";"Cabo de Hornos";"122";"Antartica Chilena";"12";"Magallanes y de la Antartica Chilena";"XII";"poblacion";2063
